Column,title,date_created,keywords,media_type,description,nasa_id,links
69,KSC-2011-2189,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --As the sun rises over Vandenberg Air Force Base in California, United Launch Alliance technicians prepare to raise one of three Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2189,https://images-assets.nasa.gov/image/KSC-2011-2189/KSC-2011-2189~medium.jpg
70,KSC-2011-2192,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --As the sun rises over Vandenberg Air Force Base in California, a crane raises one of three United Launch Alliance Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2192,https://images-assets.nasa.gov/image/KSC-2011-2192/KSC-2011-2192~medium.jpg
71,KSC-2011-2453,2011-03-21,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif.  -- United Space Alliance technicians hoist the second stage of a Delta II rocket into position in the Space Launch Complex-2 (SLC-2) service tower at Vandenberg Air Force Base in California. The rocket is being prepared to launch NASA's Aquarius satellite into low Earth orbit.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2453,https://images-assets.nasa.gov/image/KSC-2011-2453/KSC-2011-2453~medium.jpg
72,KSC-2011-2198,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --At Vandenberg Air Force Base in California, United Launch Alliance technicians finish installing one of three Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2198,https://images-assets.nasa.gov/image/KSC-2011-2198/KSC-2011-2198~medium.jpg
73,KSC-2011-2452,2011-03-21,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- United Space Alliance technicians hoist the second stage of a Delta II rocket into position in the Space Launch Complex-2 (SLC-2) service tower at Vandenberg Air Force Base in California. The rocket is being prepared to launch NASA's Aquarius satellite into low Earth orbit.        Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2452,https://images-assets.nasa.gov/image/KSC-2011-2452/KSC-2011-2452~medium.jpg
74,KSC-2011-2197,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --At Vandenberg Air Force Base in California, a crane raises one of three United Launch Alliance Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). A second motor was installed earlier in the morning. Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2197,https://images-assets.nasa.gov/image/KSC-2011-2197/KSC-2011-2197~medium.jpg
75,KSC-2011-2457,2011-03-21,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- With the Space Launch Complex-2 (SLC-2) service tower at Vandenberg Air Force Base in California back in place, the first and second stages, and three solid rocket motors of a Delta II rocket are in their launch configuration. The rocket is being prepared to launch NASA's Aquarius satellite into low Earth orbit.    Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2457,https://images-assets.nasa.gov/image/KSC-2011-2457/KSC-2011-2457~medium.jpg
76,KSC-2011-1960,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- As the sun rises over Vandenberg Air Force Base in California, the first stage of the United Launch Alliance Delta II rocket that will carry the Aquarius/SAC-D satellite into low Earth orbit is prepared for its move to Space Launch Complex-2 (SLC-2).      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1960,https://images-assets.nasa.gov/image/KSC-2011-1960/KSC-2011-1960~medium.jpg
77,KSC-2011-2455,2011-03-21,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- With the Space Launch Complex-2 (SLC-2) service tower at Vandenberg Air Force Base in California back in place, United Space Alliance technicians lower the second stage of a Delta II rocket into position over the first stage and three solid rocket motors. The rocket is being prepared to launch NASA's Aquarius satellite into low Earth orbit.        Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2455,https://images-assets.nasa.gov/image/KSC-2011-2455/KSC-2011-2455~medium.jpg
78,KSC-2011-2199,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --At Vandenberg Air Force Base in California, United Launch Alliance technicians finish installing one of three Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). A second motor was installed earlier in the morning. Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2199,https://images-assets.nasa.gov/image/KSC-2011-2199/KSC-2011-2199~medium.jpg
79,KSC-2011-2450,2011-03-21,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The Space Launch Complex-2 (SLC-2) service tower at Vandenberg Air Force Base in California is moved to allow United Launch Alliance technicians to hoist into position the second stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit.       Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2450,https://images-assets.nasa.gov/image/KSC-2011-2450/KSC-2011-2450~medium.jpg
80,KSC-2011-2196,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --At Vandenberg Air Force Base in California, a crane raises one of three United Launch Alliance Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). A second motor was installed earlier in the morning. Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2196,https://images-assets.nasa.gov/image/KSC-2011-2196/KSC-2011-2196~medium.jpg
81,KSC-2011-2190,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --As the sun rises over Vandenberg Air Force Base in California, United Launch Alliance technicians prepare to raise one of three Delta II solid rocket motors on the pad at Space Launch Complex-2 West (SLC-2W). Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2190,https://images-assets.nasa.gov/image/KSC-2011-2190/KSC-2011-2190~medium.jpg
82,A Drier Future Sets the Stage for More Wildfires,2019-07-09,"Drought, Fire Management, Human Geography, Natural Hazards, Fires, Climate Change, Earth, Freshwater",video,"Droughts can create ideal conditions for wildfires. Dry trees and vegetation provide fuel. Low soil and air moisture make it easier for fires to spread quickly. In these conditions, a spark from lightning, electrical failures, human error or planned fires can quickly get out of control. As Earth’s climate warms and precipitation patterns change, increasingly severe droughts will leave some areas of the world vulnerable to increasingly severe fires. Understanding how fires behave in dry conditions can help firefighters, first responders and others prepare for a hotter, drier future.",GSFC_20190709_Droughts_m13253_Fires,https://images-assets.nasa.gov/video/GSFC_20190709_Droughts_m13253_Fires/GSFC_20190709_Droughts_m13253_Fires~large.jpg
83,New Look at Gravity Data Sheds Light on Ocean and Climate,2009-08-27,"Earth, Gravity Recovery and Climate Experiment GRACE",image,This map shows changes in ocean bottom pressure measured by NASA Gravity Recovery and Climate Experiment.,PIA12188,https://images-assets.nasa.gov/image/PIA12188/PIA12188~small.jpg
84,NASA Science Live: Climate Edition - Innovations for a Sustainable Future [Episode 60],2024-10-30,"Jasmine Hopkins, Dr. Kate Calvin, Dan Lockney, NASA, Climate, Climate Change, Earth Science, Spinoff Technology, Sustainable, Innovations, Green Technology, Recycle, Lunarecycle challenge, Renewable energies, Wildfires, Beaver dam, Agriculture, NSL, NASA Science Live",video,"Join NASA experts for a special climate edition of NASA Science Live on Wednesday, October 30 at 3:00 p.m. ET. This interactive Q&A will explore how NASA’s cutting-edge technology and research are helping to combat climate change and to develop solutions for a greener planet. Ask NASA experts your questions by using #askNASA. Jasmine Hopkins, NASA Communications Dr. Kate Calvin, NASA Chief Scientist and Senior Climate Advisor Dan Lockney, NASA Technology Transfer Program Executive",GSFC_NSL_Climate_Ep60,https://images-assets.nasa.gov/video/GSFC_NSL_Climate_Ep60/GSFC_NSL_Climate_Ep60~large.jpg
85,KSC-2011-1971,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is raised onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.    Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1971,https://images-assets.nasa.gov/image/KSC-2011-1971/KSC-2011-1971~medium.jpg
86,KSC-2011-1970,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is raised onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1970,https://images-assets.nasa.gov/image/KSC-2011-1970/KSC-2011-1970~medium.jpg
87,KSC-2011-1963,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit arrives to the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.    Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1963,https://images-assets.nasa.gov/image/KSC-2011-1963/KSC-2011-1963~medium.jpg
88,KSC-2011-1961,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --  As the sun rises over Vandenberg Air Force Base in California, the first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is on its way to Space Launch Complex-2 (SLC-2). While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.        Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1961,https://images-assets.nasa.gov/image/KSC-2011-1961/KSC-2011-1961~medium.jpg
89,KSC-2011-1964,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is raised onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.        Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1964,https://images-assets.nasa.gov/image/KSC-2011-1964/KSC-2011-1964~medium.jpg
90,KSC-2011-2188,2011-03-09,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --Before the sun rises over Vandenberg Air Force Base in California, United Launch Alliance technicians prepare to move one of three Delta II solid rocket motors from the solid motor facility to Space Launch Complex-2 West (SLC-2W) atop a tug. ULA technician Eric Chambless is in the tug's driver seat. Scheduled to launch in June, the Delta II rocket will carry NASA's Aquarius satellite into low Earth orbit.    Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: VAFB/30th Space Wing",KSC-2011-2188,https://images-assets.nasa.gov/image/KSC-2011-2188/KSC-2011-2188~medium.jpg
91,KSC-2011-1965,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is raised onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1965,https://images-assets.nasa.gov/image/KSC-2011-1965/KSC-2011-1965~medium.jpg
92,KSC-2011-1967,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians guide the first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1967,https://images-assets.nasa.gov/image/KSC-2011-1967/KSC-2011-1967~medium.jpg
93,KSC-2011-1968,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. --  Technicians guide the first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1968,https://images-assets.nasa.gov/image/KSC-2011-1968/KSC-2011-1968~medium.jpg
94,KSC-2011-1966,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit is raised onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.    Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1966,https://images-assets.nasa.gov/image/KSC-2011-1966/KSC-2011-1966~medium.jpg
95,KSC-2011-1962,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- The first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit arrives to the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.      Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1962,https://images-assets.nasa.gov/image/KSC-2011-1962/KSC-2011-1962~medium.jpg
96,KSC-2011-1969,2011-03-01,"ELV, Delta II, science, research, climate change, Earth mission",image,"VANDENBERG AIR FORCE BASE, Calif. -- Technicians guide the first stage of the Delta II rocket that will carry NASA's Aquarius satellite into low Earth orbit onto the launch pad at Vandenberg Air Force Base's Space Launch Complex-2 (SLC-2) in California. While the Delta II rocket is stacked on SLC-2, teams for NASA's Glory spacecraft and Orbital Sciences Taurus XL rocket are in launch preparation mode at Vandenberg's nearby Space Launch Complex 576-E.        Scheduled to launch in June, Aquarius' mission will be to provide monthly maps of global changes in sea surface salinity. By measuring ocean salinity from space, Aquarius will provide new insights into how the massive natural exchange of freshwater between the ocean, atmosphere and sea ice influences ocean circulation, weather and climate. Also going up with the satellite are optical and thermal cameras, a microwave radiometer and the SAC-D spacecraft, which were developed with the help of institutions in Italy, France, Canada and Argentina. Photo credit: NASA/VAFB",KSC-2011-1969,https://images-assets.nasa.gov/image/KSC-2011-1969/KSC-2011-1969~medium.jpg
97,PREFIRE: A Mission to Better Understand Earth’s Polar Regions (Mission Overview),2024-05-16,"NASA, JPL, Jet Propulsion Laboratory, Jet Propulsion Lab, University of Wisconsin-Madison, weather models, climate, climate change, climate models, climate predictions, weather predictions, forecast, forecast predictions, poles, polar regions, Arctic, Antarctic, sun, space, energy, global warming, heat loss, rising sea levels, satellites, CubeSats, polar orbit, wavelengths, infrared, far-infrared, far infrared, spectrometer, instrument, spectrum, rainbow, ""Tristan LEcuyer"", Natasha Vos, Sharmila Padmanabhan",video,"NASA’s PREFIRE mission aims to improve global climate change predictions by expanding our understanding of heat loss at the polar regions. The Polar Radiant Energy in the Far-InfraRed Experiment (PREFIRE) will send two shoebox-size satellites into space to study the Arctic and Antarctic. They’ll be the first to systematically measure heat in the form of far-infrared radiation emitted from those regions.   Earth absorbs much of the Sun’s energy at the tropics. Weather and ocean currents then move that heat toward the poles, which help regulate Earth’s climate by radiating that heat back into space. But the Arctic is warming about three times faster than anywhere else on Earth, and that’s leading to increased ice sheet melt and sea level rise in coastal communities. The data from PREFIRE will help scientists better understand how Earth’s polar regions respond to climate change and what that might mean for the future.  For more information: https://science.nasa.gov/mission/prefire   Credit: NASA/JPL-Caltech/University of Wisconsin",JPL-20240516-PRFIREf-0001-PREFIRE Overview Video,https://images-assets.nasa.gov/video/JPL-20240516-PRFIREf-0001-PREFIRE Overview Video/JPL-20240516-PRFIREf-0001-PREFIRE Overview Video~large.jpg
98,NASA Science Live: Connected by Earth [Episode 31],2021-04-22,"NASA Science Live, NSL, Kimberley R. Miner, Lesley Ott, Equisha Glenn, #askNASA, #ConnectedByEarth, @NASAEarth, @NASAClimate, Climate change, Global warming, Earth Day",video,"This year at NASA, Earth Day is about connections—to our planet and to each other. Our planet is home to over 7 billion people of diverse backgrounds and experiences, but we are all #ConnectedByEarth. Join NASA climate experts to learn about the connections between human activity and climate change. Tag your questions using #askNASA to have your questions answered live during our Earth Day episode of #NASAScience Live on #EarthDay: Thursday, April 22. --Dr. Kimberley R. Miner, Climate Scientist, Host, NASA JPL-- Dr. Lesley Ott, Climate Scientist, NASA Goddard-- Equisha Glenn, Graduate Student Research Assistant, NASA GISS",GSFC_20210422_NSL_Ep31,https://images-assets.nasa.gov/video/GSFC_20210422_NSL_Ep31/GSFC_20210422_NSL_Ep31~large.jpg
